[object Uint8Array]Source page: http://tc.technode.com/speaker,
thumbnail_image,thumbnail_image/_alt,name_text,position_text
"http://tc.technode.com/files/bfi_thumb/xuxiaoping-2x86z33dczn5exnwzc2oe8.jpg","徐小平","徐小平","真格基金 创始人, 新东方 联合创始人"
"http://tc.technode.com/files/bfi_thumb/phil-larsen-2wtr1zve2q3ho5x6nvaww0.jpg","Phil Larsen","Phil Larsen","CMO, Halfbrick"
"http://tc.technode.com/files/bfi_thumb/Robin-Han-2x6rq4vx9bazrdwy9cbi0w.jpg","Robin Han","Robin Han","Zepp Labs Founder & CTO"
"http://tc.technode.com/files/bfi_thumb/-CEO-张一鸣-2x1y6cw6ikw53jibs30v0g.jpeg","张一鸣","张一鸣","今日头条 创始人 & CEO"
"http://tc.technode.com/files/bfi_thumb/ScottBeaumontGoogleChina-2x4mim79fzx9lyvojt2rcw.jpg","Scott Beaumont","Scott Beaumont","Google 大中华区 总裁"
"http://tc.technode.com/files/bfi_thumb/lugang-t-2wl0b9tnziho2u86qsb7r4.jpg","卢刚","卢刚","动点科技创始人"
"http://tc.technode.com/files/bfi_thumb/Eric-2xa9as388tm8x9dfxmoiyo.jpg","Eric Tan","Eric Tan","Fifth Journey CEO"
"http://tc.technode.com/files/bfi_thumb/Eric-2x787c412iwt4gyyyredq8.png","Erin Chang","Erin Chang","Between Head of Strategy"
"http://tc.technode.com/files/bfi_thumb/RichTeo-2x6ylaqnamb3is07blmdq8.jpg","Richmond Teo","Richmond Teo","itBit亚洲 CEO & 联合创始人"
"http://tc.technode.com/files/bfi_thumb/MeloticCo-founderCTO-2x4ool2wu0swhol1xw4a2o.jpg","陈寅","陈寅","Melotic Co-founder & CTO"
"http://tc.technode.com/files/bfi_thumb/DanWong-2x8epmj84me5ig8qr5g8hs.jpg","Dan Wong","Dan Wong","三星电子大中华区 互联网应用与服务中心 副总裁"
"http://tc.technode.com/files/bfi_thumb/JeffreyLyndon-2xa9aamha5j2mim9e7zdvk.jpg","Jeff Lyndon","Jeff Lyndon","乐逗游戏 总裁及创始者"
"http://tc.technode.com/files/bfi_thumb/sonnyvu_400x400-2wx80nzj84l5glsra9np4w.jpg","Sonny Vu","Sonny Vu","Founder & CEO of Misfit Wearables"
"http://tc.technode.com/files/bfi_thumb/jonmedved_400x400-2wx80n8e6de0sbbiz2jri8.jpeg","Jonathan Medved","Jonathan Medved","OurCrowd CEO"
"http://tc.technode.com/files/bfi_thumb/sean-2wx81p6gaqcw2yqtaods74.jpg","Sean Galligan","Sean Galligan","VP of Flurry"
"http://tc.technode.com/files/bfi_thumb/PatGallagherGeneralPartnerofCrunchFund-2x4mh15nf5xrvxzvoj52ps.jpg","Patrick Gallagher","Patrick Gallagher","General Partner of CrunchFund"
"http://tc.technode.com/files/bfi_thumb/CrunchBaseJonathan-2x8w10mikoiub5zx7lquww.png","Jonathan Shieber","Jonathan Shieber","TechCrunch & CrunchBase 高级编辑"
"http://tc.technode.com/files/bfi_thumb/ARK_Will-2x787zcuqnin9g2980lon4.jpg","张文新","张文新","ARK design 联合创始人"
"http://tc.technode.com/files/bfi_thumb/oneplus_liuzuohu-2x6zookec4rz66tpmbt7uo.jpg","刘作虎","刘作虎","一加科技 创始人"
"http://tc.technode.com/files/bfi_thumb/Ucloudvp-2x7891ohdw32w8q5p7zo5c.jpg","郭鹏","郭鹏","UCloud VP"
"http://tc.technode.com/files/bfi_thumb/kiiVP-Dominique-2x6ajvvka8aom4ny5vcpog.jpg","Dominique Tu","Dominique Tu","kii VP"
"http://tc.technode.com/files/bfi_thumb/MB-Headshot-Square-2x5lv92h1a6g6q9jg02pz4.png","Micha Benoliel","Micha Benoliel","Open Garden CEO"
"http://tc.technode.com/files/bfi_thumb/StarXu-2x5lvzgdqq3zsx0mbwwf0g.jpg","徐明星","徐明星","OKCoin Founder & CEO"
"http://tc.technode.com/files/bfi_thumb/IanChin-2x8w3lcrklvtayvbgw6rcw.jpg","陈浩源","陈浩源","百视通 COO"
"http://tc.technode.com/files/bfi_thumb/guokeCEOguxiaobin-2x4im7u0uj4ciim8k62v40.jpg","顾晓斌","顾晓斌","果壳电子CEO"
"http://tc.technode.com/files/bfi_thumb/Laurent-Le-Pen_profile-pic-1-2x9mgjia3ox7sphhddds00.jpg","Laurent Le Pen","Laurent Le Pen","Omate 创始人 & CEO"
"http://tc.technode.com/files/bfi_thumb/EngadgetRichard-2x8w1lzhmf4urew4ov6br4.jpg","Richard Lai","Richard Lai","Engadget 高级编辑"
"http://tc.technode.com/files/bfi_thumb/jaiyiwang_guoyu-2x6rjgrr86q4uogx6y0gzk.png","郭宇","郭宇","加意网 创始人"
"http://tc.technode.com/files/bfi_thumb/buckwald-leapmotion-2wx80m87g14ijxcjw52io0.jpg","Michael Buckwald","Michael Buckwald","Leap Motion CEO"
"http://tc.technode.com/files/bfi_thumb/zhangwei-2x8mqofhdikcc33go3oqo0.jpg","张伟","张伟","eicodesign Co-Founder & Principal"
"http://tc.technode.com/files/bfi_thumb/bschmitt_400x400-2wx80lz5rg24ztut4ep7gg.jpg","Bertrand Schmitt","Bertrand Schmitt","AppAnnie CEO"
